eeid,project_id,skill_match,tenure_score,availability_score,weighted_score,outcome_label
E02387,PRJ-011,0.0,1.0,0.5,0.4,1
E02387,PRJ-005,0.0,1.0,0.5,0.4,1
E02387,PRJ-013,0.0,1.0,0.5,0.4,0
E02387,PRJ-002,0.0,1.0,0.5,0.4,1
E04105,PRJ-003,0.75,1.0,1.0,0.875,1
E04105,PRJ-018,0.5,1.0,1.0,0.75,1
E04105,PRJ-014,1.0,1.0,1.0,1.0,1
E04105,PRJ-002,0.0,1.0,1.0,0.5,0
E02572,PRJ-002,0.0,1.0,1.0,0.5,0
E02572,PRJ-018,0.0,1.0,1.0,0.5,1
E02572,PRJ-005,0.0,1.0,1.0,0.5,0
E02572,PRJ-010,0.0,1.0,1.0,0.5,1
E02832,PRJ-004,0.0,0.7,1.0,0.41,0
E02832,PRJ-018,0.0,0.7,1.0,0.41,0
E02832,PRJ-003,0.75,0.7,1.0,0.785,1
E02832,PRJ-002,0.0,0.7,1.0,0.41,1
E01639,PRJ-006,0.0,1.0,0.0,0.3,0
E01639,PRJ-008,0.0,1.0,0.0,0.3,0
E01639,PRJ-003,0.25,1.0,0.0,0.425,1
E01639,PRJ-010,0.0,1.0,0.0,0.3,0
E00644,PRJ-005,0.0,0.9,0.5,0.37,0
E00644,PRJ-016,0.0,0.9,0.5,0.37,0
E00644,PRJ-014,0.3333,0.9,0.5,0.5367,1
E00644,PRJ-002,0.0,0.9,0.5,0.37,0
E01550,PRJ-015,0.0,0.6,0.5,0.28,1
E01550,PRJ-003,0.75,0.6,0.5,0.655,0
E01550,PRJ-019,0.0,0.6,0.5,0.28,0
E01550,PRJ-009,0.0,0.6,0.5,0.28,0
E04332,PRJ-013,0.0,0.6,0.0,0.18,0
E04332,PRJ-012,0.25,0.6,0.0,0.305,1
E04332,PRJ-001,0.25,0.6,0.0,0.305,0
E04332,PRJ-015,0.0,0.6,0.0,0.18,0
E04533,PRJ-016,0.0,0.7,0.5,0.31,1
E04533,PRJ-003,0.0,0.7,0.5,0.31,0
E04533,PRJ-006,0.0,0.7,0.5,0.31,0
E04533,PRJ-015,0.0,0.7,0.5,0.31,0
E03838,PRJ-013,0.0,0.8,0.0,0.24,1
E03838,PRJ-008,0.0,0.8,0.0,0.24,0
E03838,PRJ-005,0.25,0.8,0.0,0.365,1
E03838,PRJ-003,0.0,0.8,0.0,0.24,0
E00591,PRJ-012,0.25,1.0,0.0,0.425,0
E00591,PRJ-019,0.6667,1.0,0.0,0.6333,0
E00591,PRJ-011,0.0,1.0,0.0,0.3,0
E00591,PRJ-005,0.0,1.0,0.0,0.3,0
E03344,PRJ-018,0.0,0.5,0.5,0.25,0
E03344,PRJ-013,0.0,0.5,0.5,0.25,1
E03344,PRJ-019,0.0,0.5,0.5,0.25,1
E03344,PRJ-020,0.3333,0.5,0.5,0.4167,0
E00530,PRJ-004,0.0,1.0,0.5,0.4,1
E00530,PRJ-001,0.0,1.0,0.5,0.4,1
E00530,PRJ-005,0.0,1.0,0.5,0.4,0
E00530,PRJ-020,0.0,1.0,0.5,0.4,0
E04239,PRJ-016,0.25,0.5,1.0,0.475,1
E04239,PRJ-004,0.25,0.5,1.0,0.475,1
E04239,PRJ-019,0.0,0.5,1.0,0.35,1
E04239,PRJ-020,0.0,0.5,1.0,0.35,0
E03496,PRJ-006,0.0,0.9,0.0,0.27,1
E03496,PRJ-017,0.6667,0.9,0.0,0.6033,1
E03496,PRJ-001,0.0,0.9,0.0,0.27,0
E03496,PRJ-007,0.0,0.9,0.0,0.27,0
E00549,PRJ-009,0.0,1.0,0.0,0.3,0
E00549,PRJ-017,0.0,1.0,0.0,0.3,0
E00549,PRJ-012,0.0,1.0,0.0,0.3,0
E00549,PRJ-006,0.0,1.0,0.0,0.3,0
E00163,PRJ-007,0.0,1.0,0.0,0.3,0
E00163,PRJ-008,0.0,1.0,0.0,0.3,0
E00163,PRJ-013,0.0,1.0,0.0,0.3,1
E00163,PRJ-019,0.0,1.0,0.0,0.3,0
E00884,PRJ-012,0.0,1.0,0.5,0.4,0
E00884,PRJ-015,0.0,1.0,0.5,0.4,1
