eeid,project_id,role
E02387,PRJ-003,Reviewer
E02572,PRJ-011,Contributor
E02572,PRJ-014,Reviewer
E02832,PRJ-007,Lead
E02832,PRJ-014,Contributor
E01639,PRJ-007,Contributor
E01639,PRJ-018,Lead
E00644,PRJ-014,Reviewer
E00644,PRJ-012,Lead
E01550,PRJ-014,Reviewer
E01550,PRJ-018,Reviewer
E01550,PRJ-003,Contributor
E04533,PRJ-011,Contributor
E03838,PRJ-015,Reviewer
E03838,PRJ-002,Reviewer
E03838,PRJ-005,Lead
E03344,PRJ-005,Reviewer
E00530,PRJ-010,Lead
E00530,PRJ-019,Reviewer
E04239,PRJ-004,Lead
E04239,PRJ-011,Lead
E04239,PRJ-016,Contributor
E03496,PRJ-013,Contributor
E00884,PRJ-009,Contributor
E00884,PRJ-010,Lead
E04116,PRJ-014,Contributor
E03680,PRJ-013,Reviewer
E03680,PRJ-003,Lead
E03680,PRJ-018,Lead
E03484,PRJ-020,Contributor
E00671,PRJ-008,Reviewer
E02071,PRJ-008,Contributor
E02071,PRJ-003,Reviewer
E02206,PRJ-010,Contributor
E02206,PRJ-017,Contributor
E00154,PRJ-015,Reviewer
E03343,PRJ-019,Reviewer
E03343,PRJ-006,Lead
E03343,PRJ-002,Reviewer
E00304,PRJ-003,Contributor
E02594,PRJ-007,Reviewer
E00402,PRJ-011,Contributor
E00402,PRJ-008,Reviewer
E01994,PRJ-012,Contributor
E01994,PRJ-017,Contributor
E03549,PRJ-006,Contributor
E03247,PRJ-020,Contributor
E04152,PRJ-011,Lead
E04152,PRJ-018,Contributor
E04152,PRJ-002,Reviewer
E04285,PRJ-012,Contributor
E01417,PRJ-016,Reviewer
E01417,PRJ-003,Lead
E01417,PRJ-014,Contributor
E01754,PRJ-014,Lead
E03749,PRJ-008,Lead
E03749,PRJ-010,Contributor
E03574,PRJ-020,Contributor
E03574,PRJ-014,Contributor
E03574,PRJ-018,Lead
E00586,PRJ-018,Contributor
E00586,PRJ-019,Contributor
E00586,PRJ-013,Lead
E03538,PRJ-020,Contributor
E02185,PRJ-003,Contributor
E02185,PRJ-014,Contributor
E02185,PRJ-018,Reviewer
E03830,PRJ-017,Reviewer
E03830,PRJ-003,Contributor
E03830,PRJ-020,Contributor
E03720,PRJ-010,Lead
E03720,PRJ-016,Lead
E03720,PRJ-012,Contributor
E03025,PRJ-008,Contributor
E04917,PRJ-012,Contributor
E04917,PRJ-015,Reviewer
E04917,PRJ-001,Contributor
E00415,PRJ-010,Reviewer
E00415,PRJ-008,Lead
E00415,PRJ-011,Contributor
E04207,PRJ-013,Lead
E04207,PRJ-003,Reviewer
E04207,PRJ-014,Contributor
E02139,PRJ-013,Reviewer
E01797,PRJ-015,Contributor
E01797,PRJ-010,Lead
E01633,PRJ-001,Lead
E01633,PRJ-016,Reviewer
E01633,PRJ-003,Contributor
