eeid,skill,years_experience
E02387,HR Management,2
E02387,DevOps,10
E02387,Power BI,7
E02387,Network Administration,1
E02387,Frontend Development,1
E02387,Azure,2
E02387,Linux,4
E04105,Account Management,7
E04105,Network Administration,6
E04105,AWS,5
E04105,Linux,3
E04105,Cloud Architecture,4
E04105,Cybersecurity,6
E02572,Budgeting,8
E02572,Payroll,9
E02572,Deep Learning,2
E02572,Linux,7
E02572,Excel,2
E02832,Linux,1
E02832,DevOps,4
E02832,Financial Modeling,3
E02832,Cybersecurity,4
E01639,Accounting,8
E01639,Marketing,7
E01639,CI/CD,5
E01639,Azure,9
E01639,Excel,4
E00644,Sales,8
E00644,REST API Design,3
E00644,Negotiation,5
E00644,JavaScript,3
E00644,Cybersecurity,4
E01550,DevOps,6
E01550,Network Administration,4
E01550,Employee Relations,5
E01550,Azure,1
E01550,Linux,4
E01550,Cybersecurity,4
E04332,Budgeting,1
E04332,Django,6
E04332,Accounting,6
E04332,Finance,3
E04332,Excel,5
E04533,Project Management,7
E04533,C#,5
E04533,Agile,1
E04533,Stakeholder Management,5
E04533,Excel,3
E03838,Finance,8
E03838,Accounting,2
E03838,Budgeting,3
E03838,NLP,3
E00591,HR Management,9
E00591,Payroll,8
E00591,Spark,2
E00591,FastAPI,4
E00591,Scrum,4
E00591,Recruiting,2
E00591,Employee Relations,6
E03344,RAG,1
E03344,Python,3
E03344,Deep Learning,1
E03344,Machine Learning,5
E00530,TypeScript,4
E00530,Employee Relations,2
E00530,Payroll,2
E00530,HR Management,7
E04239,Budgeting,1
E04239,Finance,2
E04239,Recruiting,2
E04239,Data Engineering,2
E04239,Financial Modeling,5
E03496,Project Management,7
E03496,Data Analysis,8
E03496,Agile,8
E03496,Azure,4
E03496,Stakeholder Management,7
E03496,Excel,1
E00549,SEO,5
E00549,Content Strategy,4
E00549,Data Analysis,1
E00549,Docker,10
E00163,Backend Development,3
E00163,Accounting,1
E00163,C++,9
E00163,Financial Modeling,2
E00163,Excel,3
E00884,Project Management,2
E00884,Content Strategy,7
E00884,Data Analysis,10
E00884,Marketing,10
E00884,Agile,9
E00884,Deep Learning,6
E04116,Scrum,2
E04116,AWS,2
E04116,Linux,9
E04116,Cloud Architecture,4
E04116,Excel,9
E04116,Cybersecurity,5
